NO.,Time,ms,mV,mV.1
345,2021/05/19 13:16:36,0,16.29,6.9
346,2021/05/19 13:16:46,0,16.23,6.9
347,2021/05/19 13:16:56,0,16.34,6.91
348,2021/05/19 13:17:06,0,16.3,6.91
349,2021/05/19 13:17:16,0,16.31,6.9
350,2021/05/19 13:17:26,0,16.3,6.9
351,2021/05/19 13:17:36,0,16.31,6.9
352,2021/05/19 13:17:46,0,16.31,6.91
353,2021/05/19 13:17:56,0,16.33,6.92
354,2021/05/19 13:18:06,0,16.34,6.91
355,2021/05/19 13:18:16,0,16.31,6.9
356,2021/05/19 13:18:26,0,16.31,6.91
357,2021/05/19 13:18:36,0,16.32,6.91
358,2021/05/19 13:18:46,0,16.35,6.93
359,2021/05/19 13:18:56,0,16.34,6.93
360,2021/05/19 13:19:06,0,16.37,6.95
361,2021/05/19 13:19:16,0,16.36,6.94
362,2021/05/19 13:19:26,0,16.35,6.94
363,2021/05/19 13:19:36,0,16.36,6.95
364,2021/05/19 13:19:46,0,16.36,6.94
365,2021/05/19 13:19:56,0,16.35,6.94
366,2021/05/19 13:20:06,0,16.35,6.94
367,2021/05/19 13:20:16,0,16.35,6.94
368,2021/05/19 13:20:26,0,16.23,6.93
369,2021/05/19 13:20:36,0,16.32,6.92
370,2021/05/19 13:20:46,0,16.3,6.91
371,2021/05/19 13:20:56,0,16.32,6.92
372,2021/05/19 13:21:06,0,16.32,6.93
373,2021/05/19 13:21:16,0,16.31,6.92
374,2021/05/19 13:21:26,0,16.32,6.92
375,2021/05/19 13:21:36,0,16.33,6.92
376,2021/05/19 13:21:46,0,16.33,6.92
377,2021/05/19 13:21:56,0,16.32,6.93
378,2021/05/19 13:22:06,0,16.34,6.93
379,2021/05/19 13:22:16,0,16.32,6.92
380,2021/05/19 13:22:26,0,16.34,6.92
381,2021/05/19 13:22:36,0,16.32,6.92
382,2021/05/19 13:22:46,0,16.32,6.9
383,2021/05/19 13:22:56,0,16.29,6.9
384,2021/05/19 13:23:06,0,16.29,6.9
385,2021/05/19 13:23:16,0,16.29,6.89
386,2021/05/19 13:23:26,0,16.29,6.9
387,2021/05/19 13:23:36,0,16.3,6.9
388,2021/05/19 13:23:46,0,16.17,6.9
389,2021/05/19 13:23:56,0,16.3,6.9
390,2021/05/19 13:24:06,0,16.22,6.9
391,2021/05/19 13:24:16,0,16.31,6.9
392,2021/05/19 13:24:26,0,16.28,6.89
393,2021/05/19 13:24:36,0,16.27,6.89
394,2021/05/19 13:24:46,0,16.19,6.89
395,2021/05/19 13:24:56,0,16.25,6.89
396,2021/05/19 13:25:06,0,16.24,6.88
397,2021/05/19 13:25:16,0,16.25,6.88
398,2021/05/19 13:25:26,0,16.24,6.88
399,2021/05/19 13:25:36,0,16.22,6.87
400,2021/05/19 13:25:46,0,16.25,6.87
401,2021/05/19 13:25:56,0,16.21,6.87
402,2021/05/19 13:26:06,0,16.19,6.86
403,2021/05/19 13:26:16,0,16.19,6.85
404,2021/05/19 13:26:26,0,16.16,6.84
405,2021/05/19 13:26:36,0,16.16,6.85
406,2021/05/19 13:26:46,0,16.17,6.86
407,2021/05/19 13:26:56,0,16.17,6.86
408,2021/05/19 13:27:06,0,16.14,6.85
409,2021/05/19 13:27:16,0,16.16,6.86
410,2021/05/19 13:27:26,0,16.2,6.88
411,2021/05/19 13:27:36,0,16.2,6.88
412,2021/05/19 13:27:46,0,16.23,6.89
413,2021/05/19 13:27:56,0,16.21,6.88
414,2021/05/19 13:28:06,0,16.25,6.89
415,2021/05/19 13:28:16,0,16.22,6.88
416,2021/05/19 13:28:26,0,16.22,6.88
417,2021/05/19 13:28:36,0,16.24,6.89
418,2021/05/19 13:28:46,0,16.21,6.88
419,2021/05/19 13:28:56,0,16.18,6.88
420,2021/05/19 13:29:06,0,16.23,6.88
421,2021/05/19 13:29:16,0,16.2,6.87
422,2021/05/19 13:29:26,0,16.2,6.86
423,2021/05/19 13:29:36,0,16.2,6.87
424,2021/05/19 13:29:46,0,16.19,6.88
425,2021/05/19 13:29:56,0,16.2,6.88
426,2021/05/19 13:30:06,0,16.2,6.86
427,2021/05/19 13:30:16,0,16.18,6.86
428,2021/05/19 13:30:26,0,16.17,6.85
429,2021/05/19 13:30:36,0,16.13,6.84
430,2021/05/19 13:30:46,0,16.14,6.85
431,2021/05/19 13:30:56,0,16.13,6.84
432,2021/05/19 13:31:06,0,16.17,6.85
433,2021/05/19 13:31:16,0,16.17,6.86
434,2021/05/19 13:31:26,0,16.14,6.85
435,2021/05/19 13:31:36,0,16.13,6.85
436,2021/05/19 13:31:46,0,16.14,6.86
437,2021/05/19 13:31:56,0,16.14,6.87
438,2021/05/19 13:32:06,0,16.16,6.87
439,2021/05/19 13:32:16,0,16.16,6.87
440,2021/05/19 13:32:26,0,16.15,6.86
441,2021/05/19 13:32:36,0,16.18,6.88
442,2021/05/19 13:32:46,0,16.18,6.88
443,2021/05/19 13:32:56,0,16.17,6.88
444,2021/05/19 13:33:06,0,16.18,6.88
445,2021/05/19 13:33:16,0,16.17,6.88
446,2021/05/19 13:33:26,0,16.17,6.88
447,2021/05/19 13:33:36,0,16.16,6.86
448,2021/05/19 13:33:46,0,16.16,6.86
449,2021/05/19 13:33:56,0,16.17,6.86
450,2021/05/19 13:34:06,0,16.14,6.84
451,2021/05/19 13:34:16,0,16.17,6.85
452,2021/05/19 13:34:26,0,16.16,6.83
453,2021/05/19 13:34:36,0,16.16,6.84
454,2021/05/19 13:34:46,0,16.18,6.85
455,2021/05/19 13:34:56,0,16.18,6.85
456,2021/05/19 13:35:06,0,16.19,6.85
457,2021/05/19 13:35:16,0,16.09,6.85
458,2021/05/19 13:35:26,0,16.19,6.85
459,2021/05/19 13:35:36,0,16.17,6.85
460,2021/05/19 13:35:46,0,16.19,6.86
461,2021/05/19 13:35:56,0,16.2,6.87
462,2021/05/19 13:36:06,0,16.21,6.86
463,2021/05/19 13:36:16,0,16.21,6.87
464,2021/05/19 13:36:26,0,16.22,6.87
465,2021/05/19 13:36:36,0,16.23,6.86
466,2021/05/19 13:36:46,0,16.22,6.87
467,2021/05/19 13:36:56,0,16.23,6.87
468,2021/05/19 13:37:06,0,16.24,6.88
469,2021/05/19 13:37:16,0,16.24,6.88
470,2021/05/19 13:37:26,0,16.24,6.87
471,2021/05/19 13:37:36,0,16.23,6.87
472,2021/05/19 13:37:46,0,16.22,6.87
473,2021/05/19 13:37:56,0,16.23,6.86
474,2021/05/19 13:38:06,0,16.24,6.87
475,2021/05/19 13:38:16,0,16.23,6.86
476,2021/05/19 13:38:26,0,16.23,6.88
477,2021/05/19 13:38:36,0,16.24,6.9
478,2021/05/19 13:38:46,0,16.25,6.89
479,2021/05/19 13:38:56,0,15.95,6.78
480,2021/05/19 13:39:06,0,16.17,6.85
481,2021/05/19 13:39:16,0,16.2,6.87
482,2021/05/19 13:39:26,0,16.2,6.86
483,2021/05/19 13:39:36,0,16.2,6.86
484,2021/05/19 13:39:46,0,16.21,6.85
485,2021/05/19 13:39:56,0,16.18,6.86
486,2021/05/19 13:40:06,0,16.18,6.85
487,2021/05/19 13:40:16,0,16.17,6.84
488,2021/05/19 13:40:26,0,16.15,6.82
489,2021/05/19 13:40:36,0,16.14,6.82
490,2021/05/19 13:40:46,0,16.15,6.82
491,2021/05/19 13:40:56,0,16.12,6.82
492,2021/05/19 13:41:06,0,16.13,6.83
493,2021/05/19 13:41:16,0,16.14,6.83
494,2021/05/19 13:41:26,0,16.14,6.83
495,2021/05/19 13:41:36,0,16.14,6.84
496,2021/05/19 13:41:46,0,16.13,6.82
497,2021/05/19 13:41:56,0,16.12,6.81
498,2021/05/19 13:42:06,0,16.12,6.82
499,2021/05/19 13:42:16,0,16.08,6.79
500,2021/05/19 13:42:26,0,16.06,6.8
501,2021/05/19 13:42:36,0,16.08,6.82
502,2021/05/19 13:42:46,0,16.09,6.81
503,2021/05/19 13:42:56,0,16.1,6.82
504,2021/05/19 13:43:06,0,16.09,6.81
505,2021/05/19 13:43:16,0,16.08,6.81
506,2021/05/19 13:43:26,0,16.09,6.81
507,2021/05/19 13:43:36,0,16.09,6.82
508,2021/05/19 13:43:46,0,16.07,6.8
509,2021/05/19 13:43:56,0,16.08,6.81
510,2021/05/19 13:44:06,0,16.08,6.8
511,2021/05/19 13:44:16,0,16.06,6.79
512,2021/05/19 13:44:26,0,16.1,6.81
513,2021/05/19 13:44:36,0,16.12,6.84
514,2021/05/19 13:44:46,0,16.11,6.83
515,2021/05/19 13:44:56,0,16.09,6.83
516,2021/05/19 13:45:06,0,16.09,6.84
517,2021/05/19 13:45:16,0,16.07,6.84
